Kawhi,Leonard,1,nisko krilo,39400000,1991-06-29,201,102,15,2011,Los Angeles Clippers
Lebron,James,2,nisko krilo,44470000,1984-12-30,206,113,1,2003,Los Angeles Lakers
Anthony,Davis,3,krilni centar,32740000,1993-03-11,208,115,1,2012,Los Angeles Lakers
Stephen,Curry,4,organizator igre,45780000,1988-03-14,188,84,7,2009,Golden State Warriors
Klay,Thompson,5,bek šuter,32740000,1990-02-08,198,98,11,2011,Golden State Warriors
Nikola,Jokiæ,6,centar,46550000,1995-02-19,211,129,41,2014,Denver Nuggets
Bojan,Bogdanoviæ,7,nisko krilo,19550000,1989-04-18,203,98,31,2011,Detroit Pistons
Luka,Donèiæ,8,organizator igre,37096500,1999-02-28,201,103,3,2018,Dallas Mavericks
Jayson,Tatum,9,nisko krilo,30351780,1998-03-03,208,95,3,2017,Boston Celtics
Ja,Morant,10,organizator igre,12119440,1998-10-08,191,79,2,2019,Memphis Grizzlies
